City_ID,City,Country,Date,Lat,Lng,Max Temp,Cloudiness,Humidity,Wind Speed,Current Description
0,Ostersund,SE,2022-07-25 23:57:24,63.1792,14.6357,57.65,20,100,9.22,few clouds
1,Tiksi,RU,2022-07-25 23:57:25,71.6872,128.8694,50.99,48,81,4.65,scattered clouds
2,Castro,BR,2022-07-25 23:57:26,-24.7911,-50.0119,59.7,94,72,2.13,overcast clouds
3,Nuuk,GL,2022-07-25 23:57:26,64.1835,-51.7216,43.88,82,87,5.01,broken clouds
4,Cidreira,BR,2022-07-25 23:57:27,-30.1811,-50.2056,61.09,16,95,5.91,few clouds
5,Srednekolymsk,RU,2022-07-25 23:57:28,67.45,153.6833,60.64,38,37,12.35,scattered clouds
6,Iqaluit,CA,2022-07-25 23:57:28,63.7506,-68.5145,47.93,20,81,10.36,few clouds
7,Gat,IL,2022-07-25 23:57:29,31.61,34.7642,78.4,0,71,1.9,clear sky
8,Mataura,NZ,2022-07-25 23:57:29,-46.1927,168.8643,46.47,100,96,10.78,overcast clouds
9,Port Hardy,CA,2022-07-25 23:57:30,50.6996,-127.4199,71.78,20,68,12.66,fog
10,Domoni,KM,2022-07-25 23:57:30,-12.2569,44.5319,74.53,7,74,10.67,clear sky
11,Bluff,NZ,2022-07-25 23:57:31,-46.6,168.3333,46.8,100,90,26.84,light rain
12,Rikitea,PF,2022-07-25 23:57:31,-23.1203,-134.9692,75.61,72,73,14.16,broken clouds
13,Bambanglipuro,ID,2022-07-25 23:57:32,-7.95,110.2833,71.28,91,83,3.4,overcast clouds
14,Khvastovichi,RU,2022-07-25 23:57:32,53.4694,35.0941,57.7,60,98,4.68,broken clouds
15,Kapaa,US,2022-07-25 23:57:33,22.0752,-159.319,84.18,8,66,5.01,clear sky
16,East London,ZA,2022-07-25 23:57:14,-33.0153,27.9116,55.44,0,70,12.08,clear sky
17,Dikson,RU,2022-07-25 23:57:33,73.5069,80.5464,44.94,99,91,23.78,overcast clouds
18,Hukuntsi,BW,2022-07-25 23:57:34,-24.0,21.75,61.34,36,36,13.65,scattered clouds
19,Vardo,NO,2022-07-25 23:57:34,70.3705,31.1107,53.58,100,87,10.36,overcast clouds
20,Jamestown,US,2022-07-25 23:57:34,42.097,-79.2353,69.06,23,62,1.99,few clouds
21,Bredasdorp,ZA,2022-07-25 23:57:35,-34.5322,20.0403,46.9,0,67,4.56,clear sky
22,Tambacounda,SN,2022-07-25 23:57:35,13.7539,-13.7586,78.85,20,94,4.61,few clouds
23,Altrincham,GB,2022-07-25 23:57:35,53.3875,-2.3485,58.41,100,90,3.44,overcast clouds
24,Uyskoye,RU,2022-07-25 23:57:36,54.3775,60.0047,58.69,54,84,2.59,broken clouds
25,Torbay,CA,2022-07-25 23:57:36,47.6666,-52.7314,69.76,100,92,21.85,overcast clouds
26,Port Alfred,ZA,2022-07-25 23:57:37,-33.5906,26.891,52.18,0,82,1.01,clear sky
27,Maneromango,TZ,2022-07-25 23:57:37,-7.1988,38.7848,63.57,40,96,4.14,scattered clouds
28,Jumla,NP,2022-07-25 23:57:37,29.2747,82.1838,59.85,92,97,1.81,overcast clouds
29,Saskylakh,RU,2022-07-25 23:57:38,71.9167,114.0833,69.98,92,72,6.58,overcast clouds
30,Batagay-Alyta,RU,2022-07-25 23:57:38,67.8006,130.4114,71.91,32,51,0.92,scattered clouds
31,Hobart,AU,2022-07-25 23:57:36,-42.8794,147.3294,55.26,75,96,3.44,broken clouds
32,Sitka,US,2022-07-25 23:53:38,57.0531,-135.33,57.99,100,97,2.1,light rain
33,Santa Isabel Do Rio Negro,BR,2022-07-25 23:57:39,-0.4139,-65.0192,74.07,28,97,2.04,scattered clouds
34,Lebu,CL,2022-07-25 23:57:24,-37.6167,-73.65,53.58,80,85,25.28,broken clouds
35,Uruzgan,AF,2022-07-25 23:57:40,32.8333,66.0,75.96,57,47,0.36,broken clouds
36,Punta Arenas,CL,2022-07-25 23:57:40,-53.15,-70.9167,32.11,0,69,11.5,clear sky
37,Sao Filipe,CV,2022-07-25 23:57:31,14.8961,-24.4956,78.33,100,89,5.55,overcast clouds
38,Khandyga,RU,2022-07-25 23:57:41,62.6667,135.6,70.88,36,49,2.53,scattered clouds
39,Busselton,AU,2022-07-25 23:57:41,-33.65,115.3333,60.85,80,78,19.22,light rain
40,Talnakh,RU,2022-07-25 23:55:01,69.4865,88.3972,56.21,70,72,7.11,broken clouds
41,Bilibino,RU,2022-07-25 23:57:30,68.0546,166.4372,53.47,44,44,8.86,scattered clouds
42,Mahebourg,MU,2022-07-25 23:57:42,-20.4081,57.7,68.29,40,88,10.36,scattered clouds
43,Vaini,TO,2022-07-25 23:57:43,-21.2,-175.2,78.96,20,83,9.22,few clouds
44,Avarua,CK,2022-07-25 23:57:43,-21.2078,-159.775,69.85,75,73,8.05,light rain
45,Hilo,US,2022-07-25 23:57:44,19.7297,-155.09,89.28,42,90,3.0,scattered clouds
46,Bathsheba,BB,2022-07-25 23:57:44,13.2167,-59.5167,81.21,40,94,12.66,scattered clouds
47,Albany,US,2022-07-25 23:54:09,42.6001,-73.9662,76.89,43,61,10.96,scattered clouds
48,Ushuaia,AR,2022-07-25 23:53:15,-54.8,-68.3,33.46,40,80,25.32,scattered clouds
49,Acarau,BR,2022-07-25 23:57:45,-2.8856,-40.12,77.97,73,75,14.25,broken clouds
50,Bengkulu,ID,2022-07-25 23:57:45,-3.8004,102.2655,72.97,100,84,2.98,overcast clouds
51,Puerto Ayora,EC,2022-07-25 23:57:46,-0.7393,-90.3518,70.56,100,92,3.0,overcast clouds
52,Omboue,GA,2022-07-25 23:57:46,-1.5746,9.2618,71.8,72,85,6.06,broken clouds
53,Constitucion,CL,2022-07-25 23:53:36,-35.3333,-72.4167,53.46,100,91,21.54,moderate rain
54,Hermanus,ZA,2022-07-25 23:57:47,-34.4187,19.2345,49.8,0,54,8.41,clear sky
55,Ostrovnoy,RU,2022-07-25 23:57:47,68.0531,39.5131,51.35,31,80,10.13,scattered clouds
56,Kodiak,US,2022-07-25 23:57:48,57.79,-152.4072,56.35,96,73,3.22,overcast clouds
57,Nantucket,US,2022-07-25 23:57:48,41.2835,-70.0995,79.0,95,92,29.97,overcast clouds
58,Upernavik,GL,2022-07-25 23:57:48,72.7868,-56.1549,39.67,46,88,10.2,scattered clouds
59,Severo-Kurilsk,RU,2022-07-25 23:57:49,50.6789,156.125,54.03,90,83,9.93,overcast clouds
60,Cape Town,ZA,2022-07-25 23:56:00,-33.9258,18.4232,59.38,0,71,4.0,clear sky
61,Surt,LY,2022-07-25 23:57:50,31.2089,16.5887,79.47,0,74,5.7,clear sky
62,Gayeri,BF,2022-07-25 23:57:50,12.6497,0.4931,80.85,71,68,10.92,light rain
63,Praia Da Vitoria,PT,2022-07-25 23:57:51,38.7333,-27.0667,75.76,75,88,2.21,broken clouds
64,Narsaq,GL,2022-07-25 23:57:51,60.9167,-46.05,45.54,100,91,2.3,light rain
65,Alice Springs,AU,2022-07-25 23:57:52,-23.7,133.8833,53.15,0,54,17.27,clear sky
66,Clyde River,CA,2022-07-25 23:57:52,70.4692,-68.5914,41.23,100,93,6.91,overcast clouds
67,Ilulissat,GL,2022-07-25 23:57:31,69.2167,-51.1,38.61,100,94,2.44,overcast clouds
68,Faanui,PF,2022-07-25 23:57:52,-16.4833,-151.75,76.21,43,81,9.35,moderate rain
69,Yellowknife,CA,2022-07-25 23:57:09,62.456,-114.3525,72.12,40,37,16.11,scattered clouds
70,Vostok,RU,2022-07-25 23:57:53,46.4856,135.8833,65.68,44,89,2.26,scattered clouds
71,Les Cayes,HT,2022-07-25 23:57:54,18.2,-73.75,79.83,2,73,4.21,clear sky
72,Alvand,IR,2022-07-25 23:57:54,36.3187,49.1678,56.1,59,91,7.16,broken clouds
73,Kahului,US,2022-07-25 23:57:54,20.8947,-156.47,82.98,47,80,15.99,scattered clouds
74,Puerto Baquerizo Moreno,EC,2022-07-25 23:57:55,-0.9,-89.6,70.23,89,81,12.91,overcast clouds
75,Kruisfontein,ZA,2022-07-25 23:57:56,-34.0033,24.7314,45.88,0,75,6.13,clear sky
76,Guerrero Negro,MX,2022-07-25 23:57:56,27.9769,-114.0611,75.6,1,64,16.49,clear sky
77,Butaritari,KI,2022-07-25 23:57:26,3.0707,172.7902,82.72,97,69,17.49,overcast clouds
78,Atuona,PF,2022-07-25 23:57:57,-9.8,-139.0333,77.68,18,66,10.47,few clouds
79,Tezu,IN,2022-07-25 23:57:57,27.9167,96.1667,75.22,100,98,1.68,overcast clouds
80,Carutapera,BR,2022-07-25 23:57:58,-1.195,-46.02,77.34,97,86,5.5,overcast clouds
81,Nikolskoye,RU,2022-07-25 23:57:58,59.7035,30.7861,61.81,77,92,2.21,broken clouds
82,Mayo,US,2022-07-25 23:57:04,38.8876,-76.5119,81.0,93,91,4.0,overcast clouds
83,Itaituba,BR,2022-07-25 23:55:36,-4.2761,-55.9836,87.96,20,62,0.0,few clouds
84,Korla,CN,2022-07-25 23:57:59,41.7597,86.1469,79.59,18,30,5.86,few clouds
85,Prudnik,PL,2022-07-25 23:57:59,50.3212,17.5746,76.91,67,50,6.31,broken clouds
86,Yulara,AU,2022-07-25 23:58:00,-25.2406,130.9889,51.22,0,52,17.02,clear sky
87,Alpena,US,2022-07-25 23:58:00,45.0617,-83.4327,69.12,83,68,4.0,broken clouds
88,Mishelevka,RU,2022-07-25 23:58:00,52.8575,103.1719,53.4,100,95,12.93,moderate rain
89,Hithadhoo,MV,2022-07-25 23:58:01,-0.6,73.0833,82.42,19,76,12.41,few clouds
90,Panaba,MX,2022-07-25 23:58:01,21.2833,-88.2667,83.82,82,66,13.35,broken clouds
91,Longyearbyen,SJ,2022-07-25 23:53:12,78.2186,15.6401,44.71,100,95,1.63,light rain
92,Salym,RU,2022-07-25 23:58:02,60.0625,71.4789,60.04,88,98,3.87,light rain
93,Vanimo,PG,2022-07-25 23:58:02,-2.6741,141.3028,81.86,78,78,7.45,broken clouds
94,Agadez,NE,2022-07-25 23:58:03,19.75,10.25,87.19,4,17,9.73,clear sky
95,Itarema,BR,2022-07-25 23:58:03,-2.9248,-39.9167,77.92,65,75,13.49,broken clouds
96,Novo Selo,MK,2022-07-25 23:58:04,41.4139,22.8811,70.52,0,58,2.64,clear sky
97,Tasiilaq,GL,2022-07-25 23:58:04,65.6145,-37.6368,39.51,100,89,2.46,overcast clouds
98,Khatanga,RU,2022-07-25 23:58:04,71.9667,102.5,71.78,37,42,5.57,scattered clouds
99,Marawi,PH,2022-07-25 23:54:05,7.9986,124.2928,75.58,82,79,2.24,broken clouds
100,Namatanai,PG,2022-07-25 23:58:05,-3.6667,152.4333,81.77,39,78,8.81,light rain
101,Port Elizabeth,ZA,2022-07-25 23:58:05,-33.918,25.5701,57.49,0,80,13.8,clear sky
102,Doka,SD,2022-07-25 23:58:06,13.5167,35.7667,74.37,99,79,5.23,overcast clouds
103,Barrow,US,2022-07-25 23:58:06,71.2906,-156.7887,37.42,100,87,31.07,mist
104,Kaitangata,NZ,2022-07-25 23:58:07,-46.2817,169.8464,45.54,100,92,17.22,light rain
105,Kingsport,US,2022-07-25 23:56:44,36.5484,-82.5618,79.72,100,90,8.05,moderate rain
106,Akniste,LV,2022-07-25 23:58:07,56.1615,25.7478,57.25,62,89,3.58,broken clouds
107,Novomikhaylovskiy,RU,2022-07-25 23:58:08,44.2581,38.8578,67.66,83,87,5.48,broken clouds
108,Wenling,CN,2022-07-25 23:58:08,28.3669,121.36,83.3,44,77,9.62,scattered clouds
109,Eureka,US,2022-07-25 23:54:21,40.8021,-124.1637,75.2,51,77,5.99,broken clouds
110,Pisco,PE,2022-07-25 23:58:09,-13.7,-76.2167,62.65,40,82,10.36,scattered clouds
111,Victoria,HK,2022-07-25 23:57:41,22.2855,114.1577,88.97,49,76,8.99,scattered clouds
112,Shache,CN,2022-07-25 23:58:09,38.4167,77.2406,73.71,30,24,6.06,scattered clouds
113,Georgetown,MY,2022-07-25 23:57:58,5.4112,100.3354,77.95,20,94,3.44,few clouds
114,Te Anau,NZ,2022-07-25 23:58:10,-45.4167,167.7167,40.91,100,98,2.26,overcast clouds
115,Talara,PE,2022-07-25 23:56:15,-4.5772,-81.2719,68.76,0,77,17.27,clear sky
116,Lahaina,US,2022-07-25 23:58:10,20.8783,-156.6825,83.44,28,80,9.42,scattered clouds
117,Rawson,AR,2022-07-25 23:58:11,-43.3002,-65.1023,45.28,100,93,9.51,light rain
118,Tuatapere,NZ,2022-07-25 23:58:12,-46.1333,167.6833,45.09,100,94,13.78,moderate rain
119,Puerto Escondido,MX,2022-07-25 23:58:12,15.85,-97.0667,82.35,73,77,3.83,broken clouds
120,Arraial Do Cabo,BR,2022-07-25 23:58:12,-22.9661,-42.0278,71.56,0,78,13.8,clear sky
121,Nouadhibou,MR,2022-07-25 23:58:13,20.931,-17.0347,78.78,1,73,4.61,clear sky
122,Yar-Sale,RU,2022-07-25 23:58:13,66.8333,70.8333,48.07,54,81,15.68,broken clouds
123,Saint-Philippe,RE,2022-07-25 23:58:14,-21.3585,55.7679,65.21,32,79,7.99,scattered clouds
124,Tuktoyaktuk,CA,2022-07-25 23:58:14,69.4541,-133.0374,60.8,40,72,16.11,scattered clouds
125,Atocha,BO,2022-07-25 23:58:14,-20.9333,-66.2333,44.51,0,16,4.23,clear sky
126,Abu Samrah,SY,2022-07-25 23:58:15,35.3029,37.1841,74.55,0,33,6.96,clear sky
127,Qaqortoq,GL,2022-07-25 23:57:46,60.7167,-46.0333,43.3,100,97,3.76,light rain
128,Maumere,ID,2022-07-25 23:58:16,-8.6199,122.2111,77.92,59,70,5.53,broken clouds
129,Jitauna,BR,2022-07-25 23:58:16,-14.0189,-39.8889,62.74,79,97,0.43,broken clouds
130,Chokurdakh,RU,2022-07-25 23:58:17,70.6333,147.9167,59.81,83,39,14.58,broken clouds
131,Port Blair,IN,2022-07-25 23:58:17,11.6667,92.75,81.16,96,81,8.05,overcast clouds
132,La Ronge,CA,2022-07-25 23:58:18,55.1001,-105.2842,71.82,75,40,16.11,broken clouds
133,Vanersborg,SE,2022-07-25 23:56:43,58.3807,12.3234,60.76,100,88,6.91,overcast clouds
134,San Quintin,MX,2022-07-25 23:58:18,30.4833,-115.95,72.19,1,70,11.83,clear sky
135,Ust-Maya,RU,2022-07-25 23:58:19,60.4167,134.5333,68.25,1,51,6.55,clear sky
136,Broome,US,2022-07-25 23:58:19,42.2506,-75.833,76.64,35,72,1.99,scattered clouds
137,Agara,GE,2022-07-25 23:58:19,42.0376,43.8238,56.07,0,89,2.91,clear sky
138,Rantauprapat,ID,2022-07-25 23:58:20,2.1,99.8333,74.1,100,91,1.9,overcast clouds
139,Hambantota,LK,2022-07-25 23:58:20,6.1241,81.1185,78.17,100,85,11.07,overcast clouds
140,Kerema,PG,2022-07-25 23:58:21,-7.9631,145.7785,80.67,68,83,2.8,broken clouds
141,Isangel,VU,2022-07-25 23:54:34,-19.55,169.2667,77.11,100,94,9.22,overcast clouds
142,Albox,ES,2022-07-25 23:58:21,37.3886,-2.1495,87.33,46,23,5.37,scattered clouds
143,Smithers,CA,2022-07-25 23:58:22,54.7804,-127.1743,75.52,20,53,12.66,few clouds
144,Chuy,UY,2022-07-25 23:58:22,-33.6971,-53.4616,57.54,100,97,7.27,light rain
145,Itinga,BR,2022-07-25 23:58:22,-16.6131,-41.7653,67.5,63,75,3.62,broken clouds
146,Porto Novo,BJ,2022-07-25 23:58:23,6.4965,2.6036,78.62,80,87,7.38,broken clouds
147,Luoyang,CN,2022-07-25 23:55:35,34.6836,112.4536,74.77,62,80,2.98,broken clouds
148,Dinghai,CN,2022-07-25 23:58:23,26.2847,119.7936,81.52,35,87,1.68,scattered clouds
149,Maarianhamina,AX,2022-07-25 23:58:24,60.0973,19.9348,64.26,0,88,16.11,light rain
150,Kavaratti,IN,2022-07-25 23:58:24,10.5669,72.642,81.48,50,76,16.55,scattered clouds
151,Yining,CN,2022-07-25 23:58:25,29.0361,114.5636,87.3,22,66,1.97,few clouds
152,Mehamn,NO,2022-07-25 23:58:25,71.0357,27.8492,51.75,75,100,0.0,broken clouds
153,Fallon,US,2022-07-25 23:58:26,39.4735,-118.7774,102.92,2,11,7.83,clear sky
154,Payakumbuh,ID,2022-07-25 23:58:27,-0.2202,100.6308,69.12,100,98,2.66,overcast clouds
155,Kodinsk,RU,2022-07-25 23:58:27,58.6881,99.1844,57.2,100,98,4.29,light rain
156,Onega,RU,2022-07-25 23:58:28,63.9061,38.1404,53.35,64,95,4.83,broken clouds
157,Harper,LR,2022-07-25 23:58:28,4.375,-7.7169,73.31,20,78,6.67,few clouds
158,Geraldton,AU,2022-07-25 23:55:12,-28.7667,114.6,41.41,8,87,13.8,clear sky
159,Kieta,PG,2022-07-25 23:58:28,-6.2167,155.6333,82.35,63,74,3.27,light rain
160,San Patricio,US,2022-07-25 23:58:29,28.017,-97.5169,93.92,7,54,17.96,clear sky
161,Ahipara,NZ,2022-07-25 23:56:11,-35.1667,173.1667,56.61,87,88,22.88,overcast clouds
162,Saldanha,ZA,2022-07-25 23:55:02,-33.0117,17.9442,51.85,1,52,8.5,clear sky
163,Nenagh,IE,2022-07-25 23:58:30,52.8619,-8.1967,49.19,98,95,4.56,overcast clouds
164,Novaci,RO,2022-07-25 23:58:30,45.1833,23.6667,67.33,2,62,4.29,clear sky
165,Sisimiut,GL,2022-07-25 23:53:32,66.9395,-53.6735,43.52,100,89,10.8,overcast clouds
166,Saint Anthony,US,2022-07-25 23:54:28,45.0205,-93.218,76.91,40,51,9.22,scattered clouds
167,Cabo San Lucas,MX,2022-07-25 23:58:02,22.8909,-109.9124,92.5,10,62,10.0,clear sky
168,Vila Do Maio,CV,2022-07-25 23:58:31,15.1333,-23.2167,79.59,87,87,6.82,overcast clouds
169,Hofn,IS,2022-07-25 23:58:31,64.2539,-15.2082,51.46,73,86,2.95,broken clouds
170,Iseyin,NG,2022-07-25 23:58:32,7.9667,3.6,71.04,99,97,3.0,light rain
171,Lima,PE,2022-07-25 23:56:31,-12.0432,-77.0282,63.9,100,78,13.8,overcast clouds
172,Zhanakorgan,KZ,2022-07-25 23:58:32,43.9098,67.2495,83.12,20,22,2.13,few clouds
173,Baiyin,CN,2022-07-25 23:58:33,36.5583,104.2081,69.93,42,47,24.27,scattered clouds
174,Zhangye,CN,2022-07-25 23:58:33,38.9342,100.4517,74.57,95,36,2.42,overcast clouds
175,New Norfolk,AU,2022-07-25 23:58:33,-42.7826,147.0587,54.91,98,87,1.01,overcast clouds
176,Arica,CL,2022-07-25 23:58:34,-18.475,-70.3042,62.15,100,77,9.22,overcast clouds
177,Marsa Matruh,EG,2022-07-25 23:53:44,31.3525,27.2453,77.2,0,83,9.22,clear sky
178,Cayenne,GF,2022-07-25 23:58:25,4.9333,-52.3333,83.08,0,3,2.3,clear sky
179,Wewak,PG,2022-07-25 23:58:35,-3.5534,143.6268,82.18,35,78,6.17,scattered clouds
180,Thompson,CA,2022-07-25 23:58:35,55.7435,-97.8558,62.76,75,88,5.75,broken clouds
181,Laguna,US,2022-07-25 23:55:08,38.421,-121.4238,99.14,0,34,11.5,clear sky
182,Hasaki,JP,2022-07-25 23:57:44,35.7333,140.8333,79.2,66,85,19.17,broken clouds
183,Gorom-Gorom,BF,2022-07-25 23:58:36,14.4439,-0.2361,76.53,97,71,11.68,light rain
184,Kavieng,PG,2022-07-25 23:58:37,-2.5744,150.7967,82.9,40,78,16.71,light rain
185,Pangnirtung,CA,2022-07-25 23:58:37,66.1451,-65.7125,51.4,28,67,2.84,scattered clouds
186,Vao,NC,2022-07-25 23:58:37,-22.6667,167.4833,69.33,44,68,13.96,scattered clouds
187,Maneadero,MX,2022-07-25 23:58:38,31.7167,-116.5667,73.09,25,74,3.0,scattered clouds
188,Buluang,PH,2022-07-25 23:58:38,13.3068,123.3425,83.16,98,79,3.06,overcast clouds
189,Klaksvik,FO,2022-07-25 23:57:41,62.2266,-6.589,47.32,53,84,11.59,broken clouds
190,Zhuhai,CN,2022-07-25 23:58:39,22.2769,113.5678,89.85,20,74,8.05,few clouds
191,Tommot,RU,2022-07-25 23:58:39,58.9564,126.2925,79.34,54,58,3.69,broken clouds
192,Saint-Georges,GD,2022-07-25 23:58:40,12.0564,-61.7485,82.08,20,83,8.05,few clouds
193,Kloulklubed,PW,2022-07-25 23:58:40,7.0419,134.2556,83.05,69,77,8.46,broken clouds
194,Puerto Del Rosario,ES,2022-07-25 23:56:19,28.5004,-13.8627,80.35,0,61,16.11,clear sky
195,Mahajanga,MG,2022-07-25 23:58:41,-15.7167,46.3167,68.02,20,83,4.61,few clouds
196,Hamilton,US,2022-07-25 23:57:48,39.1834,-84.5333,79.09,100,74,1.01,overcast clouds
197,Esperance,AU,2022-07-25 23:58:41,-33.8667,121.9,51.84,51,57,19.62,broken clouds
198,Catuday,PH,2022-07-25 23:58:42,16.2923,119.8062,81.73,97,73,6.96,overcast clouds
199,Okhotsk,RU,2022-07-25 23:58:42,59.3833,143.3,62.2,56,71,5.14,broken clouds
200,Krasnoznamensk,RU,2022-07-25 23:58:43,55.5994,37.0386,67.69,0,82,6.71,light rain
201,Carnarvon,AU,2022-07-25 23:58:43,-24.8667,113.6333,60.71,0,42,8.72,clear sky
202,Halifax,CA,2022-07-25 23:57:14,44.6453,-63.5724,69.69,100,95,19.57,mist
203,Havre-Saint-Pierre,CA,2022-07-25 23:58:44,50.2334,-63.5986,62.96,100,100,10.36,mist
204,Manacapuru,BR,2022-07-25 23:58:44,-3.2997,-60.6206,79.65,45,66,4.76,scattered clouds
205,Baturaja,ID,2022-07-25 23:56:59,-4.1333,104.1667,72.79,99,98,1.88,overcast clouds
206,Phayao,TH,2022-07-25 23:58:45,19.25,100.25,75.11,59,91,1.12,broken clouds
207,Saint-Joseph,RE,2022-07-25 23:58:45,-21.3667,55.6167,64.2,36,78,7.07,scattered clouds
208,Obihiro,JP,2022-07-25 23:58:45,42.9172,143.2044,69.21,4,79,2.73,clear sky
209,Kushima,JP,2022-07-25 23:58:46,31.4583,131.2333,85.12,7,77,0.63,clear sky
210,Alyangula,AU,2022-07-25 23:58:46,-13.8483,136.4192,75.56,0,68,12.21,clear sky
211,Pulgaon,IN,2022-07-25 23:58:47,20.7333,78.3333,76.64,100,88,6.2,moderate rain
212,Mapiripan,CO,2022-07-25 23:58:47,2.8892,-72.1256,73.35,82,93,1.97,broken clouds
213,Nalut,LY,2022-07-25 23:58:47,30.3333,10.85,80.47,0,22,11.97,clear sky
214,Tura,IN,2022-07-25 23:58:48,25.5198,90.2201,73.09,100,98,3.56,overcast clouds
215,Buta,CD,2022-07-25 23:58:48,2.7858,24.73,70.05,98,99,1.19,light rain
216,Lang Son,VN,2022-07-25 23:58:49,21.8333,106.7333,77.32,5,84,2.86,clear sky
217,Sambava,MG,2022-07-25 23:58:49,-14.2667,50.1667,68.9,92,84,9.73,light rain
218,Poya,NC,2022-07-25 23:58:50,-21.35,165.15,75.04,19,66,7.87,few clouds
219,Port Lincoln,AU,2022-07-25 23:58:50,-34.7333,135.8667,56.32,10,62,11.81,clear sky
220,Beloha,MG,2022-07-25 23:58:50,-25.1667,45.05,62.85,19,90,5.03,few clouds
221,Fortuna,US,2022-07-25 23:58:51,40.5982,-124.1573,74.93,35,66,1.99,scattered clouds
222,Vacaville,US,2022-07-25 23:55:19,38.3566,-121.9877,98.58,0,51,24.16,clear sky
